MH0,MA0,MHC,lam2,lamL,xsec_3535_13TeV,xsec_3636_13TeV,xsec_3737_13TeV,xsec_3537_13TeV,xsec_3637_13TeV,xsec_3735_13TeV,xsec_3736_13TeV,xsec_3536_13TeV
701.469,2628.42,1281.47,7.9497,4.78094,2.4758e-05,3.7609e-08,1.4634e-05,9.8525e-06,4.4885e-08,3.23e-06,1.2662e-08,1.0035e-07
1740.08,1474.62,2961.74,9.23721,-4.19305,1.1095e-08,1.1067e-06,6.8964e-09,6.0741e-09,1.1657e-08,1.6769e-09,3.2054e-09,1.9651e-07
472.243,2917.64,1652.65,9.29378,4.47081,0.00025393,1.0434e-08,4.7571e-06,5.1048e-06,8.6396e-09,1.6444e-06,2.3285e-09,6.6946e-08
152.994,1670.84,1045.98,10.7483,3.38472,0.06144,2.2956e-06,6.0913e-05,0.00010684,1.1606e-06,4.0379e-05,3.4339e-07,5.7408e-06
489.367,1814.29,2923.4,1.11404,4.92045,0.00024797,1.2419e-06,2.0536e-08,1.0101e-07,5.6862e-09,3.0755e-08,1.5749e-09,1.8588e-06
2181.09,2156.14,1973.29,8.80742,5.68593,1.4173e-09,8.0276e-10,5.6028e-08,2.6696e-08,2.8699e-08,7.315e-09,7.8977e-09,1.0757e-08
1240.29,467.121,2736.69,10.6341,-4.54207,3.2525e-07,0.0094513,2.8552e-08,3.5872e-08,1.8233e-07,1.036e-08,5.4762e-08,1.4645e-05
2288.36,266.523,2894.26,8.39608,-1.193,3.3046e-11,2.2223,3.4472e-09,1.9715e-09,1.5378e-07,5.2046e-10,4.8274e-08,6.1108e-07
2724.64,580.208,899.277,11.3614,1.7015,4.9366e-12,0.048004,0.0045178,8.026e-08,5.6018e-05,2.3489e-08,1.9957e-05,9.6325e-08
647.383,1397.18,364.714,12.1109,2.16249,8.565e-06,4.1415e-06,0.0020859,0.00037753,1.6116e-05,0.00014488,5.4178e-06,5.1221e-06
1096.77,1691.69,635.005,3.46818,-5.31244,1.2322e-06,4.1617e-07,0.0015269,2.2942e-05,3.0658e-06,7.6818e-06,9.7494e-07,6.0253e-07
370.919,2746.18,2055.78,8.72472,-5.44634,0.0014918,2.0361e-08,7.3454e-07,1.6973e-06,5.008e-09,5.2617e-07,1.3805e-09,1.3035e-07
2363.34,1773.78,2791.28,9.40391,-2.53513,9.6138e-11,9.5736e-07,3.2153e-09,2.1127e-09,9.0069e-09,5.6265e-10,2.4127e-09,1.7459e-08
2900.49,2311.28,2937.9,4.77691,-3.7813,8.341e-12,6.0692e-08,2.8181e-10,3.9195e-10,1.642e-09,1.0263e-10,4.4441e-10,1.1814e-09
2356.08,2153.73,946.652,10.5687,-0.51568,4.1059e-12,1.3134e-08,0.0016097,2.0465e-07,3.671e-07,6.0066e-08,1.0783e-07,6.9002e-09
