MH0,MA0,MHC,lam2,lamL,xsec_3535_13TeV,xsec_3636_13TeV,xsec_3737_13TeV,xsec_3537_13TeV,xsec_3637_13TeV,xsec_3735_13TeV,xsec_3736_13TeV,xsec_3536_13TeV
463.759,520.221,272.24,11.4175,6.09469,0.00052486,0.00035193,0.012418,0.0015379,0.0011034,0.00066164,0.00046486,0.00032414
880.748,359.05,440.28,6.11223,-4.4478,4.5071e-06,0.013548,0.008169,9.7537e-05,0.0011318,3.5558e-05,0.00047719,8.8654e-05
630.927,457.62,395.86,6.71239,1.55877,5.2311e-06,3.709e-05,0.0013611,0.00035969,0.00085219,0.00013752,0.0003559,0.00019467
255.862,148.897,139.536,9.60497,4.72018,0.0083683,0.0986,0.3317,0.018093,0.060871,0.0092687,0.033849,0.013773
57.4619,459.591,989.344,0.78992,5.82665,6.0141,0.00126,0.00010063,0.00016545,5.8804e-05,6.1622e-05,2.0901e-05,0.0033995
657.834,259.155,914.512,4.24085,-4.52417,3.3699e-05,0.038455,1.4336e-05,4.1363e-05,0.00015028,1.4316e-05,5.6451e-05,0.00039164
776.887,732.877,276.67,11.0155,1.38262,1.0452e-06,6.5543e-08,0.031109,0.00027788,0.00034012,0.00010492,0.00013239,3.5763e-05
498.371,529.723,826.107,12.3673,-3.26358,9.8282e-05,4.7896e-05,3.4135e-05,0.00010021,8.8237e-05,3.6517e-05,3.2203e-05,0.00026264
562.317,612.523,312.006,8.78077,3.7806,6.3562e-05,5.9241e-05,0.0026649,0.00072098,0.00055679,0.00030274,0.00022187,0.00013468
864.8,899.807,673.073,9.9483,-4.81697,5.9934e-06,2.7957e-06,0.00033701,4.6837e-05,4.1291e-05,1.6499e-05,1.4272e-05,1.4374e-05
751.733,314.194,581.54,0.576217,-4.0814,1.1418e-05,0.01718,0.00059793,0.00010027,0.00065439,3.6505e-05,0.00026177,0.00019159
562.564,435.637,796.297,6.32405,2.76657,3.3945e-05,9.3666e-06,8.7726e-05,9.0053e-05,0.00014244,3.254e-05,5.3245e-05,0.00029966
673.573,998.097,726.17,1.202,-6.23125,5.4914e-05,6.4766e-07,9.21e-05,7.8506e-05,2.4395e-05,2.8208e-05,8.2406e-06,1.9228e-05
238.272,826.103,214.258,8.21607,4.32134,0.010188,7.7278e-05,0.04473,0.011485,0.0002628,0.0056611,0.00010063,0.00017197
759.751,836.877,449.516,2.18477,4.94442,1.5528e-05,1.6073e-05,0.00058498,0.00015824,0.00011385,6.0188e-05,4.182e-05,2.5756e-05
818.577,678.662,209.684,12.25,-6.21941,1.4734e-05,0.0001272,0.59513,0.00028047,0.00058223,0.00010626,0.00023709,3.7216e-05
756.188,65.0787,253.352,7.59362,4.77103,1.5042e-05,46.759,0.01654,0.00033292,0.033426,0.00012758,0.018061,0.00040782
373.173,493.966,585.0,6.58056,1.94902,0.00018545,0.0001325,0.00034632,0.00049633,0.00028961,0.00019782,0.00011096,0.00057396
844.999,773.94,998.18,6.93121,-2.45871,1.8465e-06,1.0703e-05,8.3564e-06,1.6661e-05,2.0901e-05,5.5388e-06,7.0205e-06,2.3822e-05
460.02,649.475,510.255,3.07284,3.98809,0.00023509,9.8693e-05,0.00066364,0.00048474,0.00020326,0.00018916,7.7009e-05,0.00017611
736.237,646.62,173.912,3.55781,2.57965,5.261e-06,5.2374e-07,0.21468,0.00047529,0.00078969,0.0001948,0.00032715,5.7697e-05
948.48,307.931,82.7684,5.81935,3.46287,1.5781e-06,0.013302,45.471,0.00019601,0.015816,7.3504e-05,0.008084,7.6952e-05
348.314,235.305,279.104,1.56815,-6.0085,0.0025872,0.028972,0.025808,0.0031187,0.0070562,0.0013963,0.0033214,0.0032101
422.839,960.203,147.393,9.02476,4.08227,0.00040358,3.1537e-05,0.078202,0.0039271,0.00016207,0.0017949,6.065e-05,5.1103e-05
782.524,345.645,970.504,8.83721,1.04277,5.6842e-07,0.0037804,1.826e-05,2.2425e-05,8.8945e-05,7.4916e-06,3.2982e-05,0.00014684
212.771,155.243,478.302,10.8258,6.08064,0.035996,0.16276,0.0023704,0.0018919,0.0024998,0.00082367,0.0011299,0.020492
818.502,586.196,318.935,6.5581,-1.53409,8.9701e-07,0.00016057,0.030053,0.00019314,0.00062151,7.482e-05,0.00024931,5.1695e-05
823.385,651.908,145.04,4.84805,5.61279,1.1522e-05,3.594e-06,0.43215,0.00032726,0.00084495,0.00012595,0.00035223,3.9901e-05
948.267,152.367,890.465,7.45794,2.79249,1.028e-06,0.74132,1.5445e-05,1.6864e-05,0.00022507,5.6514e-06,8.5904e-05,0.00011943
86.9468,186.146,894.547,9.33952,-5.92716,4.4356,0.059719,3.5472e-05,0.0002557,0.00020257,9.742e-05,7.6537e-05,0.059348
932.691,715.69,509.748,7.2614,-4.31159,2.7873e-06,9.8338e-05,0.0036325,6.251e-05,0.00015302,2.2262e-05,5.7319e-05,2.1195e-05
961.765,140.705,166.524,2.31303,0.404517,1.9405e-08,1.7383,1.4468,0.0001532,0.048174,5.9134e-05,0.026435,0.00011473
116.996,307.036,970.396,9.08249,0.848293,0.015967,0.00066545,6.7116e-05,0.00016401,0.0001015,6.1762e-05,3.7276e-05,0.010464
658.637,314.529,51.1649,7.41218,-1.81825,5.3395e-06,0.0058708,4.1587,0.0010277,0.017583,0.00043436,0.0091576,0.00031132
879.68,506.317,981.269,4.80908,-2.65613,1.6214e-06,0.0010558,8.3826e-06,1.5684e-05,5.197e-05,5.1744e-06,1.8479e-05,5.3954e-05
933.599,172.351,302.885,11.5682,-5.47986,4.4703e-06,1.0932,0.10662,0.00012086,0.0091712,4.5368e-05,0.0043868,0.00012235
842.131,782.594,867.739,4.20875,4.64701,6.7626e-06,4.8937e-06,3.1838e-05,2.6121e-05,3.2007e-05,8.7991e-06,1.0893e-05,2.3346e-05
582.445,440.94,826.128,3.43793,-4.31344,6.6758e-05,0.00085676,2.4617e-05,7.4231e-05,0.00012281,2.6619e-05,4.5326e-05,0.00026493
387.279,63.6358,192.469,7.01313,-1.74817,0.00012132,75.472,0.060672,0.0040125,0.079254,0.0018295,0.044965,0.0064137
893.096,612.111,896.06,10.8117,0.507308,5.33e-08,0.00011019,1.4584e-05,2.0086e-05,5.1295e-05,6.6706e-06,1.7833e-05,3.5384e-05
314.905,772.684,339.811,2.42972,2.04005,0.00051433,5.999e-05,0.0027336,0.0026278,0.00022391,0.0011669,8.4678e-05,0.00017335
193.633,774.234,400.033,9.20665,5.2721,0.044436,0.0001191,0.0044267,0.0036251,0.00017864,0.0016418,6.7357e-05,0.00026276
254.302,580.026,390.97,7.50073,3.82686,0.0056804,0.00025026,0.0031121,0.0027074,0.00046397,0.0012059,0.00018595,0.0006208
941.725,213.598,444.979,4.5389,-2.80015,1.0892e-06,0.27031,0.0078078,7.4616e-05,0.0023554,2.6743e-05,0.0010583,0.00010482
137.534,714.955,843.877,4.4513,-0.281132,0.00074451,5.8335e-05,9.688e-05,0.00029973,4.3885e-05,0.00011469,1.5207e-05,0.00043453
766.722,659.616,495.903,11.7892,-2.34958,3.287e-06,3.8736e-05,0.0015537,0.00012917,0.00020609,4.8522e-05,7.8133e-05,4.8387e-05
296.3,840.345,939.908,4.44271,4.99443,0.00428,7.3749e-05,0.00010344,0.00011985,2.0562e-05,4.4987e-05,6.8971e-06,0.0001324
557.647,480.083,838.795,0.469852,3.72272,6.5088e-05,6.646e-05,8.7899e-05,7.7231e-05,9.9933e-05,2.77e-05,3.7049e-05,0.00024999
448.054,295.624,127.682,2.74212,-0.89027,1.3607e-05,0.0013106,0.50944,0.0035654,0.013233,0.0016216,0.0066465,0.0011397
838.882,484.079,460.468,5.46772,-3.87323,4.828e-06,0.001491,0.0047148,0.00010827,0.0005486,3.9769e-05,0.00021719,6.9299e-05
933.058,224.846,534.386,1.47746,5.32386,4.2374e-06,0.050139,0.00046196,5.7464e-05,0.0012639,2.0398e-05,0.00053751,0.0001059
323.741,115.39,269.547,5.47481,2.26586,0.00054601,0.013359,0.0065965,0.0039294,0.018906,0.0017853,0.0097531,0.0089592
196.183,92.9514,904.044,4.6494,3.87104,0.022396,0.92006,0.00011939,0.00018726,0.00023849,7.1244e-05,9.1537e-05,0.047997
474.063,944.42,187.726,0.13122,4.73865,0.00027888,3.2887e-05,0.029702,0.002201,0.00015896,0.00096952,5.9274e-05,4.5811e-05
784.415,314.287,85.0868,6.95559,5.91028,1.796e-05,0.00084274,5.3402,0.00045658,0.014582,0.00018901,0.0074163,0.00016347
894.367,582.969,60.0868,1.81519,-5.93691,6.9575e-06,0.000602,2.766,0.00026313,0.0016808,0.00010411,0.00074301,3.861e-05
